"nom du fichier";"temps_debut";"temps_fin";"frequence_mediane";"tadarida_taxon";"tadarida_probabilite";"tadarida_taxon_autre";"observateur_taxon";"observateur_probabilite";"validateur_taxon";"validateur_probabilite"
"Car291547-2017-Pass1-Z1-017329_0_20170609_225503_372";"0.0";5.0;55.0;"Pippip";0.822;"noise";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225508_372";"0.0";5.0;55.0;"Pippip";0.724;"Pipkuh";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225508_372";1.5;2.9;23.0;"noise";0.622;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225513_372";"0.0";5.0;61.0;"Pippip";0.876;"noise, Pipkuh";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225513_372";2.3;2.4;36.0;"noise";0.266;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225518_372";"0.0";5.0;57.0;"Pippip";0.834;"Pipkuh";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225518_372";2.3;3.8;63.0;"noise";0.33;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225523_372";"0.0";5.0;57.0;"Pippip";0.838;"Pipkuh";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225523_372";0.8;4.3;31.0;"noise";0.596;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225528_372";"0.0";5.0;57.0;"Pippip";0.698;"noise, Pipkuh, Leppun";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225528_372";1.7;1.8;45.0;"noise";0.362;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225533_372";"0.0";5.0;52.0;"Pippip";0.818;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225538_372";"0.0";5.0;55.0;"Pippip";0.674;"noise";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225543_372";"0.0";5.0;57.0;"Pippip";0.808;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225543_372";0.2;0.3;9.0;"noise";0.408;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225548_372";"0.0";5.0;60.0;"Pippip";0.776;"Pipkuh, noise";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225548_372";3.9;4.0;51.0;"noise";0.214;"";"";"";"";""
