"nom du fichier";"temps_debut";"temps_fin";"frequence_mediane";"tadarida_taxon";"tadarida_probabilite";"tadarida_taxon_autre";"observateur_taxon";"observateur_probabilite";"validateur_taxon";"validateur_probabilite"
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160719_204935_000";4.9;5.0;57.0;"noise";0.514;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160719_205627_824";4.9;5.0;10.0;"noise";0.754;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160719_215505_379";"0.0";1.0;50.0;"noise";0.408;"Myonat, Myodau";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160719_221115_211";"0.0";1.1;46.0;"Pippip";0.624;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160719_233841_955";"0.0";1.5;49.0;"Pippip";0.83;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160719_234618_677";"0.0";2.0;47.0;"Pippip";0.802;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160719_234904_000";"0.0";2.7;47.0;"Pippip";0.764;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160719_234909_000";0.8;3.5;47.0;"Pippip";0.838;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160719_235607_955";"0.0";5.0;47.0;"Pippip";0.814;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160719_235612_955";"0.0";1.1;47.0;"Pippip";0.732;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160720_003222_522";"0.0";0.7;64.0;"Myonat";0.306;"Myoema";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160720_012419_607";"0.0";4.4;58.0;"Pippip";0.68;"Pippyg, noise";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160720_013329_342";"0.0";1.9;46.0;"Myodau";0.244;"Myocap";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160720_013414_426";"0.0";2.4;50.0;"Pippip";0.744;"noise";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160720_013624_393";"0.0";2.6;51.0;"Pippip";0.758;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160720_014034_657";"0.0";1.5;50.0;"Pippip";0.664;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160720_015320_277";"0.0";2.0;60.0;"noise";0.322;"Myodau, Myoema, Myonat";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160720_015320_277";"0.0";1.8;45.0;"Myodau";0.318;"Myocap, Myomys, Myonat";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160720_015903_107";"0.0";1.8;48.0;"Myodau";0.286;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160720_015949_805";"0.0";1.6;51.0;"Pippip";0.806;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160720_020338_553";"0.0";1.8;53.0;"noise";0.378;"Myoema, Pippyg";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160720_020338_553";"0.0";1.3;68.0;"Myoema";0.272;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160720_022437_490";"0.0";5.0;45.0;"Myocap";0.458;"Myodau, noise";"";"";"";""
