carre;annee;espece;abond
30567;2007;STRTUR;2
30567;2008;STRTUR;1
30567;2009;STRTUR;2
30567;2010;STRTUR;1
30567;2011;STRTUR;1
30567;2012;STRTUR;0
30582;2016;STRTUR;2
30582;2017;STRTUR;3
30582;2018;STRTUR;1
30640;2018;STRTUR;4
30686;2017;STRTUR;3
30686;2018;STRTUR;3
30689;2002;STRTUR;6
30689;2003;STRTUR;2
30689;2004;STRTUR;5
30689;2005;STRTUR;9
30689;2006;STRTUR;3
30689;2007;STRTUR;5
30689;2008;STRTUR;4
30689;2009;STRTUR;4
30689;2010;STRTUR;6
30689;2011;STRTUR;0
30689;2012;STRTUR;4
30689;2013;STRTUR;7
30689;2014;STRTUR;4
30689;2015;STRTUR;2
30689;2016;STRTUR;3
30689;2017;STRTUR;6
30689;2018;STRTUR;3
30769;2002;STRTUR;1
30769;2003;STRTUR;0
30769;2004;STRTUR;3
30769;2005;STRTUR;2
30769;2006;STRTUR;3
30769;2007;STRTUR;0
30769;2008;STRTUR;2
30769;2009;STRTUR;2
30769;2010;STRTUR;1
30769;2011;STRTUR;1
30769;2012;STRTUR;1
30769;2013;STRTUR;0
30769;2014;STRTUR;0
30769;2015;STRTUR;0
30769;2016;STRTUR;3
30769;2017;STRTUR;0
30769;2018;STRTUR;3
30932;2006;STRTUR;0
30932;2007;STRTUR;1
30932;2009;STRTUR;1
30932;2010;STRTUR;1
30950;2017;STRTUR;3
30950;2018;STRTUR;3
30956;2002;STRTUR;10
30956;2003;STRTUR;6
30956;2004;STRTUR;8
30956;2005;STRTUR;5
30956;2006;STRTUR;8
30956;2007;STRTUR;5
30956;2008;STRTUR;7
30956;2009;STRTUR;4
30956;2010;STRTUR;6
30956;2011;STRTUR;4
30956;2013;STRTUR;2
30956;2014;STRTUR;3
30956;2015;STRTUR;1
30956;2016;STRTUR;4
30956;2017;STRTUR;3
30956;2018;STRTUR;3
31040;2006;STRTUR;1
31040;2007;STRTUR;0
31040;2009;STRTUR;0
31040;2010;STRTUR;2
31234;2005;STRTUR;3
31234;2006;STRTUR;2
31234;2008;STRTUR;0
31234;2009;STRTUR;0
31234;2010;STRTUR;0
31234;2011;STRTUR;2
31234;2012;STRTUR;1
31368;2006;STRTUR;4
31383;2005;STRTUR;5
31383;2006;STRTUR;9
31383;2007;STRTUR;12
31383;2008;STRTUR;8
31383;2009;STRTUR;11
31383;2010;STRTUR;3
31383;2012;STRTUR;5
31383;2013;STRTUR;7
31383;2014;STRTUR;7
31383;2015;STRTUR;6
31383;2016;STRTUR;5
31383;2017;STRTUR;1
31383;2018;STRTUR;3
31397;2007;STRTUR;1
31397;2008;STRTUR;4
31429;2005;STRTUR;9
31429;2006;STRTUR;5
31429;2007;STRTUR;5
31429;2008;STRTUR;4
31429;2009;STRTUR;7
31429;2010;STRTUR;7
31429;2011;STRTUR;7
31429;2012;STRTUR;5
31429;2013;STRTUR;3
31429;2014;STRTUR;2
31429;2015;STRTUR;9
31429;2016;STRTUR;5
31429;2017;STRTUR;0
31429;2018;STRTUR;2
31446;2016;STRTUR;3
31446;2017;STRTUR;6
31446;2018;STRTUR;6
31522;2006;STRTUR;2
31522;2010;STRTUR;1
31537;2002;STRTUR;4
31537;2003;STRTUR;10
31537;2004;STRTUR;3
31716;2010;STRTUR;1
31722;2002;STRTUR;0
31722;2003;STRTUR;2
31722;2004;STRTUR;0
31739;2009;STRTUR;4
31739;2010;STRTUR;0
31739;2011;STRTUR;0
31739;2012;STRTUR;4
31739;2013;STRTUR;2
31739;2014;STRTUR;1
31739;2015;STRTUR;1
31739;2016;STRTUR;0
31739;2017;STRTUR;0
31739;2018;STRTUR;0
31782;2002;STRTUR;1
31782;2003;STRTUR;3
40309;2014;STRTUR;5
40533;2004;STRTUR;0
40533;2005;STRTUR;0
40533;2006;STRTUR;0
40533;2007;STRTUR;0
40558;2015;STRTUR;0
40558;2016;STRTUR;0
40558;2017;STRTUR;0
40558;2018;STRTUR;0
40578;2012;STRTUR;0
40578;2013;STRTUR;0
40578;2014;STRTUR;0
40637;2004;STRTUR;0
40637;2005;STRTUR;0
40637;2006;STRTUR;0
40637;2007;STRTUR;0
40910;2005;STRTUR;5
41044;2011;STRTUR;0
41098;2009;STRTUR;11
41098;2010;STRTUR;10
41098;2011;STRTUR;0
41149;2005;STRTUR;11
41149;2006;STRTUR;8
41149;2007;STRTUR;13
41149;2008;STRTUR;8
41149;2009;STRTUR;2
41149;2010;STRTUR;2
41445;2007;STRTUR;0
41445;2008;STRTUR;0
41445;2009;STRTUR;0
41445;2010;STRTUR;0
41445;2011;STRTUR;0
41445;2012;STRTUR;0
41445;2013;STRTUR;0
41445;2014;STRTUR;0
41445;2015;STRTUR;0
41445;2016;STRTUR;0
41445;2017;STRTUR;0
41445;2018;STRTUR;0
41449;2004;STRTUR;4
41510;2015;STRTUR;0
41510;2017;STRTUR;7
41513;2004;STRTUR;6
41513;2005;STRTUR;5
41513;2006;STRTUR;7
41513;2007;STRTUR;6
41513;2008;STRTUR;8
41513;2009;STRTUR;2
41555;2004;STRTUR;2
41555;2005;STRTUR;2
41555;2006;STRTUR;0
41555;2007;STRTUR;2
41555;2008;STRTUR;6
41555;2009;STRTUR;3
41670;2005;STRTUR;5
41736;2011;STRTUR;3
41736;2012;STRTUR;7
50088;2002;STRTUR;0
50088;2003;STRTUR;0
50088;2004;STRTUR;0
50088;2005;STRTUR;0
50088;2006;STRTUR;0
50088;2008;STRTUR;0
50088;2009;STRTUR;0
50088;2010;STRTUR;0
50088;2011;STRTUR;0
50088;2012;STRTUR;0
50088;2013;STRTUR;0
50088;2014;STRTUR;0
50089;2002;STRTUR;0
50089;2003;STRTUR;0
50089;2004;STRTUR;0
50089;2005;STRTUR;0
50089;2006;STRTUR;0
50089;2007;STRTUR;0
50141;2005;STRTUR;0
50141;2006;STRTUR;0
50141;2007;STRTUR;0
50141;2008;STRTUR;0
50141;2009;STRTUR;0
50141;2010;STRTUR;0
50141;2011;STRTUR;0
50141;2012;STRTUR;0
50141;2013;STRTUR;0
50158;2002;STRTUR;0
50158;2003;STRTUR;0
50158;2004;STRTUR;0
50158;2005;STRTUR;0
50158;2006;STRTUR;0
50158;2007;STRTUR;0
50158;2008;STRTUR;0
50158;2009;STRTUR;0
50158;2010;STRTUR;0
50158;2011;STRTUR;0
50158;2012;STRTUR;0
50158;2014;STRTUR;0
50160;2002;STRTUR;0
