;sp;ordre;famille;nom;nomscientific;indicateur;specialisation;especeOiseaux;nomscientific_long;shortlist
LARCAC;LARCAC;Charadriiformes;Larides;Goeland pontique;Larus cachinnans;FALSE;non;oui;Larus cachinnans Pallas;FALSE
LARCAN;LARCAN;Charadriiformes;Larides;Goeland cendre;Larus canus;FALSE;non;oui;Larus canus;FALSE
LARDEL;LARDEL;Charadriiformes;Larides;Goeland a  bec cercle;Larus delawarensis;FALSE;non;oui;Larus delawarensis Ord;FALSE
LARFUS;LARFUS;Charadriiformes;Larides;Goeland brun;Larus fuscus;FALSE;non;oui;Larus fuscus;TRUE
LARGEN;LARGEN;Charadriiformes;Larides;Goeland railleur;Larus genei;FALSE;non;oui;Larus genei Breme;FALSE
LARGLA;LARGLA;Charadriiformes;Larides;Goeland a  ailes blanches;Larus glaucoides;FALSE;non;oui;Larus glaucoides Meyer;FALSE
LARHEU;LARHEU;Charadriiformes;Larides;Goeland de Siberie;Larus heuglini;FALSE;non;oui;Larus heuglini;FALSE
LARHYP;LARHYP;Charadriiformes;Larides;Goeland bourgmestre;Larus hyperboreus;FALSE;non;oui;Larus hyperboreus Gunnerus;FALSE
LARMAR;LARMAR;Charadriiformes;Larides;Goeland marin;Larus marinus;FALSE;non;oui;Larus marinus;TRUE
LARMEL;LARMEL;Charadriiformes;Larides;Mouette melanocephale;Larus melanocephalus;FALSE;non;oui;Larus melanocephalus Temminck;TRUE
LARMIC;LARMIC;Charadriiformes;Larides;Goeland leucophee;Larus michahellis;FALSE;non;oui;Larus michahellis;TRUE
LARMIN;LARMIN;Charadriiformes;Larides;Mouette pygmee;Larus minutus;FALSE;non;oui;Larus minutus Pallas;FALSE
LARPHI;LARPHI;Charadriiformes;Larides;Mouette de Bonaparte;Larus philadelphia;FALSE;non;oui;Larus philadelphia;FALSE
LARPIP;LARPIP;Charadriiformes;Larides;Mouette de Franklin;Larus pipixcan;FALSE;non;oui;Larus pipixcan Wagler;FALSE
LARRID;LARRID;Charadriiformes;Larides;Mouette rieuse;Larus ridibundus;FALSE;non;oui;Larus ridibundus;TRUE
