"nom du fichier"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_taxon"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"IdProb"	"IdV"	"ConfV"	"Session"	"TimeNum"	"IdExtrap"	"TypeE"
"Car340098-2019-Pass1-Z31-013676_20190329_210213_774"	1.2	4.8	34	"noise"	0.68	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.68	""	""	"29/03/2019"	1553886133.774	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_210218_820"	0	2	34	"noise"	0.86	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.86	""	""	"29/03/2019"	1553886138.82	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_210218_820"	0.5	0.6	40	"Leppun"	0.03	"Yerray, Tetvir, Pipkuh"	""	""	""	""	"5caba52defb48f000fcf28b1"	0.03	""	""	"29/03/2019"	1553886138.82	"mec"	2
"Car340098-2019-Pass1-Z31-013676_20190329_210224_417"	0.1	2.1	25	"noise"	0.98	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.98	""	""	"29/03/2019"	1553886144.417	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_210226_672"	0	1.3	31	"noise"	0.86	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.86	""	""	"29/03/2019"	1553886146.672	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_210228_961"	0	2.6	26	"noise"	0.92	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.92	""	""	"29/03/2019"	1553886148.961	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_210415_231"	0	0.1	34	"noise"	0.92	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.92	""	""	"29/03/2019"	1553886255.231	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_210852_928"	0	0.1	10	"noise"	0.84	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.84	""	""	"29/03/2019"	1553886532.928	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_210942_101"	0.2	0.3	24	"noise"	0.69	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.69	""	""	"29/03/2019"	1553886582.101	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_211146_123"	0	0.9	11	"noise"	0.92	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.92	""	""	"29/03/2019"	1553886706.123	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_211215_950"	0.3	0.4	8	"noise"	0.92	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.92	""	""	"29/03/2019"	1553886735.95	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_211328_922"	1.2	1.3	8	"piaf"	0.19	"noise"	""	""	""	""	"5caba52defb48f000fcf28b1"	0.19	""	""	"29/03/2019"	1553886808.922	"piaf"	2
"Car340098-2019-Pass1-Z31-013676_20190329_211338_247"	0.2	1	19	"noise"	0.98	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.98	""	""	"29/03/2019"	1553886818.247	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_211352_850"	0	0.1	8	"noise"	0.17	"piaf"	""	""	""	""	"5caba52defb48f000fcf28b1"	0.17	""	""	"29/03/2019"	1553886832.85	"noise"	0
