"nom du fichier"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_taxon"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"IdProb"	"IdV"	"ConfV"	"Session"	"TimeNum"	"IdExtrap"	"TypeE"
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204742_065"	0.2	3.8	11	"noise"	0.97	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.97	""	""	"15/06/2012"	1339786062.065	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204747_066"	0.8	0.9	9	"noise"	0.86	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.86	""	""	"15/06/2012"	1339786067.066	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204807_068"	0.3	5	11	"noise"	0.94	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.94	""	""	"15/06/2012"	1339786087.068	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204812_069"	0.1	3.9	36	"noise"	0.87	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.87	""	""	"15/06/2012"	1339786092.069	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204812_069"	0	4.7	12	"Tetvir"	0.44	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.44	""	""	"15/06/2012"	1339786092.069	"Tetvir"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204817_070"	0.3	5	12	"noise"	0.97	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.97	""	""	"15/06/2012"	1339786097.07	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204822_070"	0.1	4.4	12	"noise"	0.9	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.9	""	""	"15/06/2012"	1339786102.07	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204827_071"	0.3	5	16	"noise"	0.92	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.92	""	""	"15/06/2012"	1339786107.071	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204832_072"	0	4.5	12	"noise"	0.89	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.89	""	""	"15/06/2012"	1339786112.072	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204837_072"	0.4	2.9	16	"noise"	0.97	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.97	""	""	"15/06/2012"	1339786117.072	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204852_074"	0.9	1.2	10	"noise"	0.96	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.96	""	""	"15/06/2012"	1339786132.074	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204902_076"	0.3	0.4	14	"noise"	0.87	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.87	""	""	"15/06/2012"	1339786142.076	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204907_076"	3.8	3.9	9	"noise"	0.95	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.95	""	""	"15/06/2012"	1339786147.076	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204927_079"	3.1	3.6	52	"noise"	0.96	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.96	""	""	"15/06/2012"	1339786167.079	"noise"	0
