;sp;ordre;famille;nom;nomscientific;indicateur;specialisation;especeOiseaux;nomscientific_long;shortlist
EMBCIT;EMBCIT;Passériformes;Embérizidés;Bruant jaune;Emberiza citrinella;TRUE;milieux agricoles;oui;Emberiza citrinella;TRUE
EMBHOR;EMBHOR;Passériformes;Embérizidés;Bruant ortolan;Emberiza hortulana;TRUE;milieux agricoles;oui;Emberiza hortulana;TRUE
EMBLEU;EMBLEU;Passériformes;Embérizidés;Bruant à  calotte blanche;Emberiza leucocephalos;FALSE;non;oui;Emberiza leucocephalos Gmelin;FALSE
EMBMEL;EMBMEL;Passériformes;Embérizidés;Bruant mélanocéphale;Emberiza melanocephala;FALSE;non;oui;Emberiza melanocephala Scopoli;FALSE
EMBPUS;EMBPUS;Passériformes;Embérizidés;Bruant nain;Emberiza pusilla;FALSE;non;oui;Emberiza pusilla Pallas;FALSE
EMBSCH;EMBSCH;Passériformes;Embérizidés;Bruant des roseaux;Emberiza schoeniclus;FALSE;non;oui;Emberiza schoeniclus;TRUE
EREALP;EREALP;Passériformes;Alaudidés;Alouette hausse-col;Eremophila alpestris;FALSE;non;oui;Eremophila alpestris;FALSE
ERIRUB;ERIRUB;Passériformes;Turdidés;Rougegorge familier;Erithacus rubecula;TRUE;milieux forestiers;oui;Erithacus rubecula;TRUE
EUOMAL;EUOMAL;Passériformes;Estérildidés;Capucin bec-de-plomb;Euodice malabarica;FALSE;non;oui;Euodice malabarica;FALSE
FALBIA;FALBIA;Falconiformes;Falconidés;Faucon lanier;Falco biarmicus;FALSE;non;oui;Falco biarmicus;FALSE
FALCHE;FALCHE;Falconiformes;Falconidés;Faucon sacre;Falco cherrug;FALSE;non;oui;Falco cherrug Gray;FALSE
FALCOL;FALCOL;Falconiformes;Falconidés;Faucon émerillon;Falco columbarius;FALSE;non;oui;Falco columbarius;FALSE
FALELE;FALELE;Falconiformes;Falconidés;Faucon d'Eléonore;Falco eleonorae;FALSE;non;oui;Falco eleonorae Géné;FALSE
