"nom du fichier"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_taxon"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"
"Car340098-2019-Pass1-Z31-013676_20190329_211953_881"	0	1.9	9	"noise"	0.97	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_212006_019"	0	0.1	11	"noise"	0.9	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_212013_024"	0	4	28	"noise"	0.96	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_212013_024"	4.1	4.2	50	"Pippip"	0.34	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_212018_024"	0.8	0.9	52	"noise"	0.78	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_212027_981"	0	0.1	43	"noise"	0.15	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_212031_164"	0	1.9	39	"noise"	0.92	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_212033_815"	0	0.1	41	"Leppun"	0.17	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_212033_815"	2	2.1	8	"noise"	0.87	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_212037_038"	0.4	4.7	39	"Leppun"	0.07	"Yerray"	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_212037_038"	0.9	5	24	"noise"	0.99	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_212042_038"	0	5	27	"noise"	0.98	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
