"nom du fichier"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_taxon"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"
"Cir464-2016-Pass1-Tron1-Chiro_0_00205_000"	0	0.5	105	"noise"	0.96	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00210_000"	0	0.5	110	"noise"	0.93	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00215_000"	0	0.5	126	"noise"	0.93	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00220_000"	0	0.5	153	"noise"	0.92	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00225_000"	0	0.4	203	"Pippip"	0.03	"Tetvir, Myoema"	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00225_000"	0	0.5	203	"noise"	0.47	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00230_000"	0	0.5	193	"noise"	0.73	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00235_000"	0	0.5	196	"noise"	0.79	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00240_000"	0	0.5	106	"noise"	0.83	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00245_000"	0	0.5	117	"noise"	0.88	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00245_000"	0	0.1	48	"Pippip"	0.22	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00250_000"	0	0.4	120	"noise"	0.87	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
