"nom du fichier"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_taxon"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_082655_707"	2.5	2.6	14	"noise"	0.95	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_082713_392"	1.7	1.8	8	"noise"	0.94	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_082730_576"	4.1	4.2	14	"noise"	0.96	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_082751_653"	2	2.1	13	"noise"	0.96	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_082837_808"	2	2.1	13	"noise"	0.96	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_082848_587"	2	2.1	13	"noise"	0.96	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_082901_653"	2	2.1	13	"noise"	0.96	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_083021_477"	2	2.1	13	"noise"	0.95	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_083036_832"	4.9	5	14	"noise"	0.96	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_083045_205"	0.3	3.4	16	"noise"	0.95	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_083051_941"	0.5	1.4	13	"piaf"	0.77	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_083057_584"	0.4	3.8	13	"noise"	0.97	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_083102_965"	0.2	3.3	13	"noise"	0.98	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_083107_392"	0.5	1.5	12	"piaf"	0.66	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_083112_197"	0.3	3.8	13	"noise"	0.91	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_083117_664"	0.5	1.1	13	"piaf"	0.71	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_083122_939"	0.3	3.9	20	"noise"	0.9	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_083122_939"	0.1	1.8	18	"piaf"	0.61	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_083128_379"	0.8	0.9	18	"noise"	0.73	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_083128_379"	0.3	1.8	13	"piaf"	0.37	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_083133_189"	0.2	3.3	14	"noise"	0.92	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_083138_405"	0.2	3.7	18	"noise"	0.96	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_083143_664"	0.5	0.8	19	"noise"	0.68	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_083143_664"	0	1.7	14	"piaf"	0.81	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_083148_475"	1.2	1.8	23	"noise"	0.87	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
