"nom du fichier"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_taxon"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"
"Cir464-2016-Pass2-Tron1-Chiro_0_00350_000"	0	0.5	200	"noise"	0.97	""	NA	NA	NA	NA	"5caba3c8efb48f0010e101d8"
"Cir464-2016-Pass2-Tron1-Chiro_0_00350_000"	0.2	0.3	44	"Pipkuh"	0.05	""	NA	NA	NA	NA	"5caba3c8efb48f0010e101d8"
"Cir464-2016-Pass2-Tron1-Chiro_0_00355_000"	0	0.5	197	"noise"	0.97	""	NA	NA	NA	NA	"5caba3c8efb48f0010e101d8"
"Cir464-2016-Pass2-Tron1-Chiro_0_00360_000"	0	0.1	196	"noise"	0.97	""	NA	NA	NA	NA	"5caba3c8efb48f0010e101d8"
"Cir464-2016-Pass2-Tron1-Chiro_1_00000_000"	0	0.5	154	"noise"	0.99	""	NA	NA	NA	NA	"5caba3c8efb48f0010e101d8"
"Cir464-2016-Pass2-Tron1-Chiro_1_00005_000"	0	0.5	154	"noise"	0.99	""	NA	NA	NA	NA	"5caba3c8efb48f0010e101d8"
"Cir464-2016-Pass2-Tron1-Chiro_1_00005_000"	0.1	0.5	40	"Yerray"	0.09	""	NA	NA	NA	NA	"5caba3c8efb48f0010e101d8"
"Cir464-2016-Pass2-Tron1-Chiro_1_00010_000"	0	0.3	40	"Confus"	0.06	"Tetvir"	NA	NA	NA	NA	"5caba3c8efb48f0010e101d8"
"Cir464-2016-Pass2-Tron1-Chiro_1_00010_000"	0	0.5	154	"noise"	0.99	""	NA	NA	NA	NA	"5caba3c8efb48f0010e101d8"
"Cir464-2016-Pass2-Tron1-Chiro_1_00015_000"	0	0.5	154	"noise"	0.99	""	NA	NA	NA	NA	"5caba3c8efb48f0010e101d8"
